4261.75	137
4262.02	138.5
4262.3	141
4262.57	141
4262.85	147
4263.12	151
4263.4	141.5
4263.68	143
4263.95	139.5
4264.23	142.5
4264.5	149
4264.78	144.5
4265.05	130.5
4265.33	138.5
4265.6	148
4265.88	140.5
4266.16	138.5
4266.43	147.5
4266.71	147.5
4266.98	141.5
4267.26	150
4267.53	140
4267.81	142
4268.08	139
4268.36	150
4268.63	146
4268.91	139
4269.19	142
4269.46	152
4269.74	153
4270.01	145
4270.29	138.5
4270.56	145
4270.84	148
4271.11	158.5
4271.39	139
4271.66	141
4271.94	146.5
4272.21	153.5
4272.49	153
4272.76	137.5
4273.04	135.5
4273.31	155
4273.59	154
4273.86	156
4274.14	147
4274.41	148.5
4274.69	153
4274.96	151
4275.24	160.5
4275.51	153.5
4275.79	141
4276.06	152
4276.34	161.5
4276.61	145.5
4276.89	152
4277.16	152
4277.44	145.5
4277.71	157.5
4277.99	162
4278.26	146
4278.54	155
4278.81	154
4279.09	162
4279.36	150.5
4279.63	158.5
4279.91	155.5
4280.18	154.5
4280.46	162
4280.73	158.5
4281.01	153
4281.28	156.5
4281.56	153.5
4281.83	167.5
4282.11	160.5
4282.38	161
4282.65	157.5
4282.93	165
4283.2	161
4283.48	154
4283.75	169.5
4284.03	169
4284.3	160
4284.58	160
4284.85	164
4285.12	166
4285.4	161.5
4285.67	158
4285.95	162.5
4286.22	169
4286.49	175
4286.77	167
4287.04	167
4287.32	167
4287.59	172.5
4287.86	176
4288.14	163.5
4288.41	165.5
4288.69	162
4288.96	182
4289.23	177.5
4289.51	172
4289.78	165
4290.06	168
4290.33	177
4290.6	182
4290.88	176.5
4291.15	167.5
4291.43	177
4291.7	178.5
4291.97	188
4292.25	178
4292.52	170
4292.8	175.5
4293.07	189
4293.34	185
4293.62	179.5
4293.89	182
4294.16	185
4294.44	193
4294.71	187.5
4294.98	188
4295.26	172.5
4295.53	186.5
4295.81	192
4296.08	202
4296.35	194
4296.63	171
4296.9	199
4297.17	198
4297.45	199
4297.72	183
4297.99	190.5
4298.27	193
4298.54	200.5
4298.81	192
4299.09	192
4299.36	199
4299.63	198.5
4299.91	205.5
4300.18	198.5
4300.45	198.5
4300.73	212.5
4301	208
4301.27	200
4301.55	205
4301.82	208
4302.09	207
4302.36	204.5
4302.64	195
4302.91	211
4303.18	214.5
4303.46	218
4303.73	210
4304	217.5
4304.28	212
4304.55	219.5
4304.82	230
4305.09	211
4305.37	225.5
4305.64	226
4305.91	228
4306.19	226.5
4306.46	224
4306.73	219
4307	230
4307.28	231
4307.55	229
4307.82	219.5
4308.09	218
4308.37	247
4308.64	243.5
4308.91	247.5
4309.19	234.5
4309.46	231
4309.73	248.5
4310	255.5
4310.28	249
4310.55	248
4310.82	237.5
4311.09	259
4311.37	267
4311.64	263.5
4311.91	242.5
4312.18	245
4312.46	258
4312.73	267
4313	270.5
4313.27	253
4313.55	265
4313.82	258
4314.09	276.5
4314.36	270
4314.63	275.5
4314.91	263
4315.18	269.5
4315.45	300
4315.72	301
4316	271
4316.27	284
4316.54	294.5
4316.81	302
4317.08	290.5
4317.36	295
4317.63	301
4317.9	309.5
4318.17	301
4318.44	310.5
4318.72	295
4318.99	317
4319.26	316.5
4319.53	317
4319.8	325.5
4320.08	327.5
4320.35	328
4320.62	331.5
4320.89	328.5
4321.16	330
4321.43	343
4321.71	352
4321.98	333.5
4322.25	335
4322.52	357
4322.79	360
4323.06	362
4323.34	366
4323.61	366
4323.88	368.5
4324.15	380
4324.42	393
4324.69	377
4324.97	383.5
4325.24	392
4325.51	387.5
4325.78	404.5
4326.05	395.5
4326.32	393
4326.6	412
4326.87	427.5
4327.14	433
4327.41	413
4327.68	408.5
4327.95	442
4328.22	465.5
4328.49	456
4328.77	435.5
4329.04	453.5
4329.31	469
4329.58	484
4329.85	472
4330.12	448
4330.39	468
4330.66	494.5
4330.94	528
4331.21	527
4331.48	492.5
4331.75	495.5
4332.02	535.5
4332.29	560.5
4332.56	533.5
4332.83	551.5
4333.1	549
4333.37	555
4333.65	597.5
4333.92	599.5
4334.19	561
4334.46	559.5
4334.73	603
4335	635.5
4335.27	627.5
4335.54	597.5
4335.81	646.5
4336.08	674
4336.35	684.5
4336.62	673.5
4336.89	670
4337.17	693
4337.44	733.5
4337.71	755
4337.98	717
4338.25	742.5
4338.52	777
4338.79	788
4339.06	781.5
4339.33	805
4339.6	846.5
4339.87	825
4340.14	844.5
4340.41	878.5
4340.68	908.5
4340.95	889
4341.22	927.5
4341.5	958
4341.77	962
4342.04	990
4342.31	1030.5
4342.58	1047
4342.85	1044
4343.12	1077
4343.39	1135.5
4343.66	1132
4343.93	1196.5
4344.2	1196
4344.47	1198.5
4344.74	1244
4345.01	1320.5
4345.28	1394
4345.55	1349.5
4345.82	1341.5
4346.09	1482.5
4346.36	1565.5
4346.63	1566
4346.9	1544.5
4347.17	1568
4347.44	1712
4347.71	1812.5
4347.98	1831.5
4348.25	1785
4348.52	1846
4348.79	2019
4349.06	2204
4349.33	2142
4349.6	2116.5
4349.87	2259
4350.14	2454
4350.41	2546.5
4350.68	2609.5
4350.95	2692
4351.22	2723.5
4351.49	2907
4351.76	3192.5
4352.03	3267
4352.3	3173
4352.57	3299.5
4352.83	3658.5
4353.1	3933
4353.37	3984
4353.64	4010
4353.91	4205
4354.18	4535
4354.45	4975
4354.72	5148
4354.99	5064.5
4355.26	5350
4355.53	5969.5
4355.8	6338.5
